;species;subsp;lat;lon;collectionCode;year;basis
1;Crax fasciolata;NA;-25.912201;-57.902405;Observations;2017;GBIF
2;Crax fasciolata;NA;-25.818917;-57.853386;Observations;2017;GBIF
3;Crax fasciolata;NA;-21.488477;-56.000861;Observations;2018;GBIF
4;Crax fasciolata;NA;-16.459025;-56.631125;Observations;2014;GBIF
5;Crax fasciolata;NA;-26.788738;-59.689278;Observations;2021;GBIF
6;Crax fasciolata;NA;-21.101063;-56.561611;Observations;2020;GBIF
7;Crax fasciolata;NA;-26.628728;-59.629308;Observations;2014;GBIF
8;Crax fasciolata;NA;-16.505707;-50.446639;Observations;2021;GBIF
9;Crax fasciolata;NA;-16.691456;-56.820294;Observations;2011;GBIF
10;Crax fasciolata;NA;-26.64295;-59.669028;Observations;2017;GBIF
11;Crax fasciolata;NA;-20.41361;-54.591773;Observations;2021;GBIF
12;Crax fasciolata;NA;-19.491292;-56.988517;Observations;2019;GBIF
13;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
14;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
15;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
16;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
17;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
18;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
19;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
20;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
21;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
22;Crax fasciolata;NA;-22.9;-43.233333;urn:catalog:RBINS:ave;NA;GBIF
23;Crax fasciolata;NA;-22.246018;-54.859026;Observations;2020;GBIF
24;Crax fasciolata;NA;-17.23077;-56.657617;Observations;2019;GBIF
25;Crax fasciolata;NA;-17.314749;-56.719347;Observations;2019;GBIF
26;Crax fasciolata;NA;-16.531722;-56.714653;Observations;2020;GBIF
27;Crax fasciolata;NA;-19.548082;-57.162725;Observations;2019;GBIF
28;Crax fasciolata;NA;-19.557458;-57.132168;Observations;2019;GBIF
29;Crax fasciolata;NA;-8.503269;-55.433756;Observations;2020;GBIF
30;Crax fasciolata;NA;-16.577312;-50.456735;Observations;2020;GBIF
31;Crax fasciolata;NA;-16.76676;-56.807848;Observations;2010;GBIF
32;Crax fasciolata;NA;-18.9439;-46.9925;Bird sounds;2020;GBIF
33;Crax fasciolata;NA;-19.412428;-57.12134;Observations;2016;GBIF
34;Crax fasciolata;NA;-16.482069;-56.7711;Observations;2018;GBIF
35;Crax fasciolata;NA;-16.530566;-56.770344;Observations;2018;GBIF
36;Crax fasciolata;NA;-16.500107;-56.742427;Observations;2017;GBIF
